ID,Title,Author,Subject,Publisher,Year Of Publication,ISBN,Keywords,Copies
633,The Institutional Economics Of Water,"R. Maria Saleth, Ariel Dinar",,The World Bank,2004,0 8213 5656 9,"Water, Cross Country Analyses",1
634,Wastewater Irrigation And Health,Pay Drechsel,,"Iwmi , Earthscan",2010,978-1-84407-795-3,"Wastewater, Irrigation, Health",1
635,Wastewater- Economic Asset In An Urbanizing World,Pay Drechsel,,"Iwmi , Unu, Springer",2015,978-94-017-9544-9,Wastewater,1
636,Water Voice- From Around The World,William E. Marks,,William E. Marks,2007,978-0-9793046-0-6,Water,1
637,Statistics On Water In Mexico ,Not Known,,"Mexico, Semarnat, Conagua",2016,`,Water,1
638,India Infrastructure Report 2011,Not Known,,"Idfc , Oxford",2011,10-0-19-807885-4,"Water, Policy",1
639,River For Life,Sandra Postel & Brian Richter,,Island Press,2003,55963-444-8,"River, Water, Nature",1
640,Financing For Development: Progress And Prospects,Not Known,,United Nations,2017,978-92-1-101363-4,Finance,1
641,The Campus Guide- Mit,Douglass Shand Tucci,,Princeton Architectural Press,,,"Historical, Architectural",1
642,How To Write A Thesis,Umberto Eco,,Mit Press,2012,978-0-262-52713-2,Thesis,1
643,Climate Change – A Very Short Introduction,Mark Maslin,,Oxford,2014,978-0-19-871904-5,Climate,1
644,Unknown Armenia,Vladimir Saroyan,,,2002,,Armenia,1
645,Projections 11- The Mit Journal Of Planning,Eryn Deeming,,Mit,2015,,"Politics, Planning Design, Mit",1
646,Strengthening – Resilience In Post-Disaster Situations,"Julian Gonsalves, Priyanka Mohan",,International Development Reserch Centre,2011,9788171889044,South Asia,1
647,Sustainable Building Technologies,K.S.Jagadish,,"Bmtpc,Ik",2019,978-93-86768-20-9,Building,1
648,Gandhi Ni Vat Game Gam,"Jagdish Shah, Prof. Kishorbhai Desai",,Yagna Prakashan,2024,,Gandhi,1
649,Game Gam Gram Swaraj,"Jagdish Shah, Prof. Kishorbhai Desai",,Yagna Prakashan,2024,,Gandhi,1
650,Waste To Worth,"Faraz Ahmad,Sumita Singhal",,Centre For Science and Environment,2024,,"Waste Water, Urban Water",1
651,The Vegetarian Han Kang,,,Buzzfed,2016,1588-0-7679-0014-6,,1
`,,,,,,,,
